c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.43.106 64455 13006.205078125 0.0 44 1 0 192.168.43.1 53 13081.607666015625 0.0 125 1 0 - - 192.168.43.1@53_192.168.43.106@64455 13006.205078125 13081.607666015625 "1970-01-01 00:00:13.006205078" "1970-01-01 00:00:13.006205078" "1970-01-01 00:00:13.081607666" "1970-01-01 00:00:13.081607666"  UNKNOWN 44.00B 125.00B
192.168.43.106 41196 13124.9990234375 0.0 36 1 19 192.168.43.1 53 13130.748046875 0.0 79 1 19 - - 192.168.43.1@53_192.168.43.106@41196 13124.9990234375 13130.748046875 "1970-01-01 00:00:13.124999023" "1970-01-01 00:00:13.124999023" "1970-01-01 00:00:13.130748047" "1970-01-01 00:00:13.130748047"  DNS 36.00B 79.00B
192.168.43.106 21377 13125.08203125 0.0 36 1 0 192.168.43.1 53 13200.7109375 0.0 143 1 0 - - 192.168.43.1@53_192.168.43.106@21377 13125.08203125 13200.7109375 "1970-01-01 00:00:13.125082031" "1970-01-01 00:00:13.125082031" "1970-01-01 00:00:13.200710938" "1970-01-01 00:00:13.200710938"  UNKNOWN 36.00B 143.00B
192.168.43.106 57907 13129.48291015625 0.0 35 1 19 192.168.43.1 53 13177.744873046875 0.0 236 1 19 - - 192.168.43.1@53_192.168.43.106@57907 13129.48291015625 13177.744873046875 "1970-01-01 00:00:13.129482910" "1970-01-01 00:00:13.129482910" "1970-01-01 00:00:13.177744873" "1970-01-01 00:00:13.177744873"  DNS 35.00B 236.00B
192.168.43.106 33099 13129.572998046875 0.0 35 1 18 192.168.43.1 53 13230.111083984375 0.0 119 1 18 - - 192.168.43.1@53_192.168.43.106@33099 13129.572998046875 13230.111083984375 "1970-01-01 00:00:13.129572998" "1970-01-01 00:00:13.129572998" "1970-01-01 00:00:13.230111084" "1970-01-01 00:00:13.230111084"  P2P_OKAD 35.00B 119.00B
192.168.43.106 13217 13129.731689453125 0.0 47 1 19 192.168.43.1 53 13134.0 0.0 111 1 19 - - 192.168.43.1@53_192.168.43.106@13217 13129.731689453125 13134.0 "1970-01-01 00:00:13.129731689" "1970-01-01 00:00:13.129731689" "1970-01-01 00:00:13.134000000" "1970-01-01 00:00:13.134000000"  DNS 47.00B 111.00B
192.168.43.106 11495 13129.842041015625 0.0 47 1 0 192.168.43.1 53 13167.950927734375 0.0 129 1 0 - - 192.168.43.1@53_192.168.43.106@11495 13129.842041015625 13167.950927734375 "1970-01-01 00:00:13.129842041" "1970-01-01 00:00:13.129842041" "1970-01-01 00:00:13.167950928" "1970-01-01 00:00:13.167950928"  UNKNOWN 47.00B 129.00B
192.168.43.106 40295 13145.989990234375 0.0 36 1 19 192.168.43.1 53 13151.658935546875 0.0 79 1 19 - - 192.168.43.1@53_192.168.43.106@40295 13145.989990234375 13151.658935546875 "1970-01-01 00:00:13.145989990" "1970-01-01 00:00:13.145989990" "1970-01-01 00:00:13.151658936" "1970-01-01 00:00:13.151658936"  DNS 36.00B 79.00B
192.168.43.106 17251 13148.99609375 0.0 51 1 19 192.168.43.1 53 13187.655029296875 0.0 299 1 19 - - 192.168.43.1@53_192.168.43.106@17251 13148.99609375 13187.655029296875 "1970-01-01 00:00:13.148996094" "1970-01-01 00:00:13.148996094" "1970-01-01 00:00:13.187655029" "1970-01-01 00:00:13.187655029"  DNS 51.00B 299.00B
192.168.43.106 16712 13149.1240234375 0.0 51 1 0 192.168.43.1 53 13220.321044921875 0.0 179 1 0 - - 192.168.43.1@53_192.168.43.106@16712 13149.1240234375 13220.321044921875 "1970-01-01 00:00:13.149124023" "1970-01-01 00:00:13.149124023" "1970-01-01 00:00:13.220321045" "1970-01-01 00:00:13.220321045"  UNKNOWN 51.00B 179.00B
192.168.43.106 11016 13149.498046875 0.0 34 1 19 192.168.43.1 53 13154.90185546875 0.0 82 1 19 - - 192.168.43.1@53_192.168.43.106@11016 13149.498046875 13154.90185546875 "1970-01-01 00:00:13.149498047" "1970-01-01 00:00:13.149498047" "1970-01-01 00:00:13.154901855" "1970-01-01 00:00:13.154901855"  DNS 34.00B 82.00B
192.168.43.106 62325 13149.557861328125 0.0 34 1 0 192.168.43.1 53 13217.0478515625 0.0 118 1 0 - - 192.168.43.1@53_192.168.43.106@62325 13149.557861328125 13217.0478515625 "1970-01-01 00:00:13.149557861" "1970-01-01 00:00:13.149557861" "1970-01-01 00:00:13.217047852" "1970-01-01 00:00:13.217047852"  UNKNOWN 34.00B 118.00B
192.168.43.106 48587 13150.181884765625 0.0 44 1 19 192.168.43.1 53 13154.904052734375 0.0 108 1 19 - - 192.168.43.1@53_192.168.43.106@48587 13150.181884765625 13154.904052734375 "1970-01-01 00:00:13.150181885" "1970-01-01 00:00:13.150181885" "1970-01-01 00:00:13.154904053" "1970-01-01 00:00:13.154904053"  DNS 44.00B 108.00B
192.168.43.106 60949 13150.240966796875 0.0 44 1 0 192.168.43.1 53 13210.536865234375 0.0 128 1 0 - - 192.168.43.1@53_192.168.43.106@60949 13150.240966796875 13210.536865234375 "1970-01-01 00:00:13.150240967" "1970-01-01 00:00:13.150240967" "1970-01-01 00:00:13.210536865" "1970-01-01 00:00:13.210536865"  UNKNOWN 44.00B 128.00B
192.168.43.106 37471 13172.849853515625 0.0 51 1 19 192.168.43.1 53 13177.74609375 0.0 115 1 19 - - 192.168.43.1@53_192.168.43.106@37471 13172.849853515625 13177.74609375 "1970-01-01 00:00:13.172849854" "1970-01-01 00:00:13.172849854" "1970-01-01 00:00:13.177746094" "1970-01-01 00:00:13.177746094"  DNS 51.00B 115.00B
192.168.43.106 24669 13173.208984375 0.0 51 1 18 192.168.43.1 53 13230.112060546875 0.0 135 1 18 - - 192.168.43.1@53_192.168.43.106@24669 13173.208984375 13230.112060546875 "1970-01-01 00:00:13.173208984" "1970-01-01 00:00:13.173208984" "1970-01-01 00:00:13.230112061" "1970-01-01 00:00:13.230112061"  P2P_OKAD 51.00B 135.00B
192.168.43.106 40631 13190.452880859375 0.0 45 1 19 192.168.43.1 53 13197.447021484375 0.0 109 1 19 - - 192.168.43.1@53_192.168.43.106@40631 13190.452880859375 13197.447021484375 "1970-01-01 00:00:13.190452881" "1970-01-01 00:00:13.190452881" "1970-01-01 00:00:13.197447021" "1970-01-01 00:00:13.197447021"  DNS 45.00B 109.00B
192.168.43.106 29200 13190.762939453125 0.0 45 1 0 192.168.43.1 53 13307.989990234375 0.0 129 1 0 - - 192.168.43.1@53_192.168.43.106@29200 13190.762939453125 13307.989990234375 "1970-01-01 00:00:13.190762939" "1970-01-01 00:00:13.190762939" "1970-01-01 00:00:13.307989990" "1970-01-01 00:00:13.307989990"  UNKNOWN 45.00B 129.00B
192.168.43.106 43567 13249.51171875 0.0 45 1 19 192.168.43.1 53 13253.455078125 0.0 152 1 19 - - 192.168.43.1@53_192.168.43.106@43567 13249.51171875 13253.455078125 "1970-01-01 00:00:13.249511719" "1970-01-01 00:00:13.249511719" "1970-01-01 00:00:13.253455078" "1970-01-01 00:00:13.253455078"  DNS 45.00B 152.00B
192.168.43.106 57364 13249.85107421875 0.0 45 1 0 192.168.43.1 53 13324.340087890625 0.0 166 1 0 - - 192.168.43.1@53_192.168.43.106@57364 13249.85107421875 13324.340087890625 "1970-01-01 00:00:13.249851074" "1970-01-01 00:00:13.249851074" "1970-01-01 00:00:13.324340088" "1970-01-01 00:00:13.324340088"  UNKNOWN 45.00B 166.00B
192.168.43.106 24938 13258.1689453125 0.0 30 1 19 192.168.43.1 53 13264.85107421875 0.0 137 1 19 - - 192.168.43.1@53_192.168.43.106@24938 13258.1689453125 13264.85107421875 "1970-01-01 00:00:13.258168945" "1970-01-01 00:00:13.258168945" "1970-01-01 00:00:13.264851074" "1970-01-01 00:00:13.264851074"  DNS 30.00B 137.00B
