c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 56746 108.156.2.3 443 13696.216552734375 505.606 23 0 22 10 5040 12 0 0 0 1 0 34 0 34 12 18841 21 0 0 0 1 0 108.156.2.3@443_192.168.84.55@56746 14201.822552734375 "1970-01-01 00:00:13.696216553" "1970-01-01 00:00:14.201822553" 4.92KB 18.40KB "0.08 kbits" "0.30 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 60616 108.138.199.128 443 13927.497314453125 291.548 15 0 14 5 4185 9 0 0 0 1 0 15 0 15 8 6882 6 0 0 0 1 0 108.138.199.128@443_192.168.84.55@60616 14219.045314453126 "1970-01-01 00:00:13.927497314" "1970-01-01 00:00:14.219045314" 4.09KB 6.72KB "0.11 kbits" "0.19 kbits" acc.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 35978 13.226.175.42 443 13678.95458984375 0.0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 13.226.175.42@443_192.168.84.55@35978 13678.95458984375 "1970-01-01 00:00:13.678954590" "1970-01-01 00:00:13.678954590" 0B 0B NaN NaN fe.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 44696 3.165.239.90 443 13653.50146484375 707.227 21 0 20 8 4612 12 0 0 0 1 0 25 0 25 11 9364 13 0 0 0 1 0 3.165.239.90@443_192.168.84.55@44696 14360.72846484375 "1970-01-01 00:00:13.653501465" "1970-01-01 00:00:14.360728465" 4.50KB 9.14KB "0.05 kbits" "0.11 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 37506 108.157.188.19 443 30657.265625 936.217 6 0 6 1 289 5 0 0 0 0 0 7 0 7 4 817 3 0 0 0 0 0 108.157.188.19@443_192.168.84.55@37506 31593.482625 "1970-01-01 00:00:30.657265625" "1970-01-01 00:00:31.593482625" 289.00B 817.00B "0.00 kbits" "0.01 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 41348 108.157.188.5 443 13689.539306640625 270.105 11 0 10 4 2444 6 0 0 0 1 0 12 0 12 6 6906 5 0 0 0 1 0 108.157.188.5@443_192.168.84.55@41348 13959.644306640625 "1970-01-01 00:00:13.689539307" "1970-01-01 00:00:13.959644307" 2.39KB 6.74KB "0.07 kbits" "0.20 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 34252 3.75.98.239 443 14740.390625 81.887 3 0 3 1 249 2 0 0 0 0 0 3 0 3 2 127 1 0 0 0 0 0 3.75.98.239@443_192.168.84.55@34252 14822.277625 "1970-01-01 00:00:14.740390625" "1970-01-01 00:00:14.822277625" 249.00B 127.00B "0.02 kbits" "0.01 kbits" gateway.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 33960 18.195.57.8 443 13688.54052734375 356.467 14 0 13 5 4187 8 0 0 0 1 0 14 0 14 6 6606 7 0 0 0 1 0 18.195.57.8@443_192.168.84.55@33960 14045.00752734375 "1970-01-01 00:00:13.688540527" "1970-01-01 00:00:14.045007527" 4.09KB 6.45KB "0.09 kbits" "0.15 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 37556 108.139.243.86 443 14101.7724609375 572.039 32 0 32 24 1316 8 0 0 0 0 0 59 0 59 5 74866 54 0 0 0 0 0 108.139.243.86@443_192.168.84.55@37556 14673.8114609375 "1970-01-01 00:00:14.101772461" "1970-01-01 00:00:14.673811461" 1.29KB 73.11KB "0.02 kbits" "1.05 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 57974 52.29.126.107 443 13898.87548828125 783.799 18 0 17 7 4260 10 0 0 0 1 0 19 0 19 9 8522 9 0 0 0 1 0 52.29.126.107@443_192.168.84.55@57974 14682.674488281249 "1970-01-01 00:00:13.898875488" "1970-01-01 00:00:14.682674488" 4.16KB 8.32KB "0.04 kbits" "0.09 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
