c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.84.55 31704 12061.2275390625 0.0 44 1 0 192.168.84.198 53 12116.76611328125 0.0 125 1 0 - - 192.168.84.198@53_192.168.84.55@31704 12061.2275390625 12116.76611328125 "1970-01-01 00:00:12.061227539" "1970-01-01 00:00:12.061227539" "1970-01-01 00:00:12.116766113" "1970-01-01 00:00:12.116766113"  UNKNOWN 44.00B 125.00B
192.168.84.55 33804 12185.859375 0.0 51 1 19 192.168.84.198 53 12266.100341796875 0.0 162 1 19 - - 192.168.84.198@53_192.168.84.55@33804 12185.859375 12266.100341796875 "1970-01-01 00:00:12.185859375" "1970-01-01 00:00:12.185859375" "1970-01-01 00:00:12.266100342" "1970-01-01 00:00:12.266100342"  DNS 51.00B 162.00B
192.168.84.55 53193 12185.92138671875 0.0 51 1 0 192.168.84.198 53 12254.948486328125 0.0 179 1 0 - - 192.168.84.198@53_192.168.84.55@53193 12185.92138671875 12254.948486328125 "1970-01-01 00:00:12.185921387" "1970-01-01 00:00:12.185921387" "1970-01-01 00:00:12.254948486" "1970-01-01 00:00:12.254948486"  UNKNOWN 51.00B 179.00B
192.168.84.55 55761 12650.607421875 0.0 34 1 19 192.168.84.198 53 12698.58154296875 0.0 130 1 19 - - 192.168.84.198@53_192.168.84.55@55761 12650.607421875 12698.58154296875 "1970-01-01 00:00:12.650607422" "1970-01-01 00:00:12.650607422" "1970-01-01 00:00:12.698581543" "1970-01-01 00:00:12.698581543"  DNS 34.00B 130.00B
192.168.84.55 14675 12650.66650390625 0.0 34 1 0 192.168.84.198 53 12699.024169921875 0.0 118 1 0 - - 192.168.84.198@53_192.168.84.55@14675 12650.66650390625 12699.024169921875 "1970-01-01 00:00:12.650666504" "1970-01-01 00:00:12.650666504" "1970-01-01 00:00:12.699024170" "1970-01-01 00:00:12.699024170"  UNKNOWN 34.00B 118.00B
192.168.84.55 18085 12652.3603515625 0.0 35 1 19 192.168.84.198 53 12659.79150390625 0.0 67 1 19 - - 192.168.84.198@53_192.168.84.55@18085 12652.3603515625 12659.79150390625 "1970-01-01 00:00:12.652360352" "1970-01-01 00:00:12.652360352" "1970-01-01 00:00:12.659791504" "1970-01-01 00:00:12.659791504"  DNS 35.00B 67.00B
192.168.84.55 2211 12652.4453125 0.0 35 1 0 192.168.84.198 53 12698.58349609375 0.0 105 1 0 - - 192.168.84.198@53_192.168.84.55@2211 12652.4453125 12698.58349609375 "1970-01-01 00:00:12.652445312" "1970-01-01 00:00:12.652445312" "1970-01-01 00:00:12.698583496" "1970-01-01 00:00:12.698583496"  UNKNOWN 35.00B 105.00B
192.168.84.55 18062 12653.3544921875 0.0 49 1 19 192.168.84.198 53 12698.58447265625 0.0 113 1 19 - - 192.168.84.198@53_192.168.84.55@18062 12653.3544921875 12698.58447265625 "1970-01-01 00:00:12.653354492" "1970-01-01 00:00:12.653354492" "1970-01-01 00:00:12.698584473" "1970-01-01 00:00:12.698584473"  DNS 49.00B 113.00B
192.168.84.55 54178 12653.434326171875 0.0 49 1 0 192.168.84.198 53 12698.58544921875 0.0 131 1 0 - - 192.168.84.198@53_192.168.84.55@54178 12653.434326171875 12698.58544921875 "1970-01-01 00:00:12.653434326" "1970-01-01 00:00:12.653434326" "1970-01-01 00:00:12.698585449" "1970-01-01 00:00:12.698585449"  UNKNOWN 49.00B 131.00B
192.168.84.55 37892 12654.529541015625 0.0 35 1 19 192.168.84.198 53 12699.0224609375 0.0 99 1 19 - - 192.168.84.198@53_192.168.84.55@37892 12654.529541015625 12699.0224609375 "1970-01-01 00:00:12.654529541" "1970-01-01 00:00:12.654529541" "1970-01-01 00:00:12.699022461" "1970-01-01 00:00:12.699022461"  DNS 35.00B 99.00B
192.168.84.55 43405 12654.591552734375 0.0 35 1 18 192.168.84.198 53 12699.025390625 0.0 119 1 18 - - 192.168.84.198@53_192.168.84.55@43405 12654.591552734375 12699.025390625 "1970-01-01 00:00:12.654591553" "1970-01-01 00:00:12.654591553" "1970-01-01 00:00:12.699025391" "1970-01-01 00:00:12.699025391"  P2P_OKAD 35.00B 119.00B
192.168.84.55 5835 12656.1875 0.0 42 1 19 192.168.84.198 53 12702.98046875 0.0 58 1 19 - - 192.168.84.198@53_192.168.84.55@5835 12656.1875 12702.98046875 "1970-01-01 00:00:12.656187500" "1970-01-01 00:00:12.656187500" "1970-01-01 00:00:12.702980469" "1970-01-01 00:00:12.702980469"  DNS 42.00B 58.00B
192.168.84.55 7115 12656.268310546875 0.0 42 1 0 192.168.84.198 53 12702.978515625 0.0 99 1 0 - - 192.168.84.198@53_192.168.84.55@7115 12656.268310546875 12702.978515625 "1970-01-01 00:00:12.656268311" "1970-01-01 00:00:12.656268311" "1970-01-01 00:00:12.702978516" "1970-01-01 00:00:12.702978516"  UNKNOWN 42.00B 99.00B
192.168.84.55 43887 12666.329345703125 0.0 33 1 19 192.168.84.198 53 12702.9794921875 0.0 103 1 19 - - 192.168.84.198@53_192.168.84.55@43887 12666.329345703125 12702.9794921875 "1970-01-01 00:00:12.666329346" "1970-01-01 00:00:12.666329346" "1970-01-01 00:00:12.702979492" "1970-01-01 00:00:12.702979492"  DNS 33.00B 103.00B
192.168.84.55 49805 12666.405517578125 0.0 33 1 0 192.168.84.198 53 12710.89453125 0.0 149 1 0 - - 192.168.84.198@53_192.168.84.55@49805 12666.405517578125 12710.89453125 "1970-01-01 00:00:12.666405518" "1970-01-01 00:00:12.666405518" "1970-01-01 00:00:12.710894531" "1970-01-01 00:00:12.710894531"  UNKNOWN 33.00B 149.00B
192.168.84.55 20375 12671.5673828125 0.0 47 1 19 192.168.84.198 53 12678.524169921875 0.0 111 1 19 - - 192.168.84.198@53_192.168.84.55@20375 12671.5673828125 12678.524169921875 "1970-01-01 00:00:12.671567383" "1970-01-01 00:00:12.671567383" "1970-01-01 00:00:12.678524170" "1970-01-01 00:00:12.678524170"  DNS 47.00B 111.00B
192.168.84.55 51796 12671.6103515625 0.0 47 1 0 192.168.84.198 53 12727.531494140625 0.0 129 1 0 - - 192.168.84.198@53_192.168.84.55@51796 12671.6103515625 12727.531494140625 "1970-01-01 00:00:12.671610352" "1970-01-01 00:00:12.671610352" "1970-01-01 00:00:12.727531494" "1970-01-01 00:00:12.727531494"  UNKNOWN 47.00B 129.00B
192.168.84.55 8965 12681.04052734375 0.0 42 1 19 192.168.84.198 53 12686.04736328125 0.0 74 1 19 - - 192.168.84.198@53_192.168.84.55@8965 12681.04052734375 12686.04736328125 "1970-01-01 00:00:12.681040527" "1970-01-01 00:00:12.681040527" "1970-01-01 00:00:12.686047363" "1970-01-01 00:00:12.686047363"  DNS 42.00B 74.00B
192.168.84.55 33456 12681.1103515625 0.0 42 1 0 192.168.84.198 53 12715.525390625 0.0 112 1 0 - - 192.168.84.198@53_192.168.84.55@33456 12681.1103515625 12715.525390625 "1970-01-01 00:00:12.681110352" "1970-01-01 00:00:12.681110352" "1970-01-01 00:00:12.715525391" "1970-01-01 00:00:12.715525391"  UNKNOWN 42.00B 112.00B
