c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.43.106 51493 13468.86474609375 0.0 36 1 19 192.168.43.1 53 13472.933837890625 0.0 79 1 19 - - 192.168.43.1@53_192.168.43.106@51493 13468.86474609375 13472.933837890625 "1970-01-01 00:00:13.468864746" "1970-01-01 00:00:13.468864746" "1970-01-01 00:00:13.472933838" "1970-01-01 00:00:13.472933838"  DNS 36.00B 79.00B
192.168.43.106 49397 13476.878662109375 0.0 51 1 19 192.168.43.1 53 13547.993408203125 0.0 252 1 19 - - 192.168.43.1@53_192.168.43.106@49397 13476.878662109375 13547.993408203125 "1970-01-01 00:00:13.476878662" "1970-01-01 00:00:13.476878662" "1970-01-01 00:00:13.547993408" "1970-01-01 00:00:13.547993408"  DNS 51.00B 252.00B
192.168.43.106 64921 13476.917724609375 0.0 51 1 18 192.168.43.1 53 13566.75146484375 0.0 135 1 18 - - 192.168.43.1@53_192.168.43.106@64921 13476.917724609375 13566.75146484375 "1970-01-01 00:00:13.476917725" "1970-01-01 00:00:13.476917725" "1970-01-01 00:00:13.566751465" "1970-01-01 00:00:13.566751465"  P2P_OKAD 51.00B 135.00B
192.168.43.106 36151 13501.681640625 0.0 45 1 19 192.168.43.1 53 13570.048828125 0.0 246 1 19 - - 192.168.43.1@53_192.168.43.106@36151 13501.681640625 13570.048828125 "1970-01-01 00:00:13.501681641" "1970-01-01 00:00:13.501681641" "1970-01-01 00:00:13.570048828" "1970-01-01 00:00:13.570048828"  DNS 45.00B 246.00B
192.168.43.106 46609 13501.73779296875 0.0 45 1 0 192.168.43.1 53 13576.562744140625 0.0 129 1 0 - - 192.168.43.1@53_192.168.43.106@46609 13501.73779296875 13576.562744140625 "1970-01-01 00:00:13.501737793" "1970-01-01 00:00:13.501737793" "1970-01-01 00:00:13.576562744" "1970-01-01 00:00:13.576562744"  UNKNOWN 45.00B 129.00B
192.168.43.106 13117 13518.189453125 0.0 45 1 19 192.168.43.1 53 13570.0498046875 0.0 286 1 19 - - 192.168.43.1@53_192.168.43.106@13117 13518.189453125 13570.0498046875 "1970-01-01 00:00:13.518189453" "1970-01-01 00:00:13.518189453" "1970-01-01 00:00:13.570049805" "1970-01-01 00:00:13.570049805"  DNS 45.00B 286.00B
192.168.43.106 29206 13518.247802734375 0.0 45 1 0 192.168.43.1 53 13579.833740234375 0.0 166 1 0 - - 192.168.43.1@53_192.168.43.106@29206 13518.247802734375 13579.833740234375 "1970-01-01 00:00:13.518247803" "1970-01-01 00:00:13.518247803" "1970-01-01 00:00:13.579833740" "1970-01-01 00:00:13.579833740"  UNKNOWN 45.00B 166.00B
192.168.43.106 57978 13571.1787109375 0.0 30 1 19 192.168.43.1 53 13691.061767578125 0.0 270 1 19 - - 192.168.43.1@53_192.168.43.106@57978 13571.1787109375 13691.061767578125 "1970-01-01 00:00:13.571178711" "1970-01-01 00:00:13.571178711" "1970-01-01 00:00:13.691061768" "1970-01-01 00:00:13.691061768"  DNS 30.00B 270.00B
192.168.43.106 3476 13571.270751953125 0.0 30 1 0 192.168.43.1 53 13674.847412109375 0.0 150 1 0 - - 192.168.43.1@53_192.168.43.106@3476 13571.270751953125 13674.847412109375 "1970-01-01 00:00:13.571270752" "1970-01-01 00:00:13.571270752" "1970-01-01 00:00:13.674847412" "1970-01-01 00:00:13.674847412"  UNKNOWN 30.00B 150.00B
192.168.43.106 33091 13859.951416015625 0.0 39 1 19 192.168.43.1 53 13928.15673828125 0.0 240 1 19 - - 192.168.43.1@53_192.168.43.106@33091 13859.951416015625 13928.15673828125 "1970-01-01 00:00:13.859951416" "1970-01-01 00:00:13.859951416" "1970-01-01 00:00:13.928156738" "1970-01-01 00:00:13.928156738"  DNS 39.00B 240.00B
