c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 37022 18.66.196.53 443 13255.141357421875 317.931 15 0 4273 9 0 0 0 1 0 17 0 9266 7 0 0 0 1 0 18.66.196.53@443_192.168.84.55@37022 13573.072357421875 "1970-01-01 00:00:13.255141357" "1970-01-01 00:00:13.573072357" 4.17KB 9.05KB "0.11 kbits" "0.23 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 33988 142.250.185.100 443 30812.973388671875 44.864 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 142.250.185.100@443_192.168.84.55@33988 30857.837388671876 "1970-01-01 00:00:30.812973389" "1970-01-01 00:00:30.857837389" 0B 0B "0.00 kbits" "0.00 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 55540 108.138.192.65 443 14835.085205078125 275.977 14 0 4197 8 0 0 0 1 0 16 0 7397 7 0 0 0 1 0 108.138.192.65@443_192.168.84.55@55540 15111.062205078126 "1970-01-01 00:00:14.835085205" "1970-01-01 00:00:15.111062205" 4.10KB 7.22KB "0.12 kbits" "0.21 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 47360 108.156.2.104 443 14853.32421875 3.359 1 0 0 0 0 0 0 0 0 2 0 5869 2 0 0 0 0 0 108.156.2.104@443_192.168.84.55@47360 14856.68321875 "1970-01-01 00:00:14.853324219" "1970-01-01 00:00:14.856683219" 0B 5.73KB "0.00 kbits" "13.98 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 52392 108.138.199.41 443 14211.059326171875 308.056 14 0 4185 9 0 0 0 1 0 17 0 6903 7 0 0 0 1 0 108.138.199.41@443_192.168.84.55@52392 14519.115326171875 "1970-01-01 00:00:14.211059326" "1970-01-01 00:00:14.519115326" 4.09KB 6.74KB "0.11 kbits" "0.18 kbits" acc.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 52566 18.66.196.47 443 13728.931396484375 850.805 20 0 4580 12 0 0 0 1 0 25 0 9387 13 0 0 0 1 0 18.66.196.47@443_192.168.84.55@52566 14579.736396484375 "1970-01-01 00:00:13.728931396" "1970-01-01 00:00:14.579736396" 4.47KB 9.17KB "0.04 kbits" "0.09 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 36664 108.157.188.92 443 13791.031005859375 267.106 12 0 2412 6 0 0 0 1 0 13 0 6908 6 0 0 0 1 0 108.157.188.92@443_192.168.84.55@36664 14058.137005859375 "1970-01-01 00:00:13.791031006" "1970-01-01 00:00:14.058137006" 2.36KB 6.75KB "0.07 kbits" "0.21 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 47134 3.75.98.239 443 16194.54296875 109.096 3 0 249 2 0 0 0 0 0 3 0 127 1 0 0 0 0 0 3.75.98.239@443_192.168.84.55@47134 16303.63896875 "1970-01-01 00:00:16.194542969" "1970-01-01 00:00:16.303638969" 249.00B 127.00B "0.02 kbits" "0.01 kbits" gateway.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 49946 18.158.189.106 443 13789.46826171875 271.27 14 0 4219 8 0 0 0 1 0 15 0 6606 7 0 0 0 1 0 18.158.189.106@443_192.168.84.55@49946 14060.73826171875 "1970-01-01 00:00:13.789468262" "1970-01-01 00:00:14.060738262" 4.12KB 6.45KB "0.12 kbits" "0.19 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 57244 13.226.175.112 443 13716.5712890625 101.741 5 0 639 4 0 0 0 0 0 5 0 405 2 0 0 0 0 0 13.226.175.112@443_192.168.84.55@57244 13818.3122890625 "1970-01-01 00:00:13.716571289" "1970-01-01 00:00:13.818312289" 639.00B 405.00B "0.05 kbits" "0.03 kbits" fe.indazn.com HTTP/1.x-HTTP/2_null
