c_ip c_pt c_all_pkts c_rst_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_ip s_pt s_all_pkts s_rst_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts unix_ts_millis unix_te_millis protocol s_origin_tls_chello s_origin_tls_shello c_http_version s_http_version s_origin_dns_request s_hostname connection_id datetime_ts datetime_te app_token app_proto c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits
192.168.84.55 36272 12 0 1875 4 1 413 0 1 1 142.250.180.130 443 11 0 6595 3 0 0 0 1 1 20528.255126953125 80781.6103515625 8192 googleads.g.doubleclick.net - 160 0 googleads.g.doubleclick.net - 142.250.180.130@443_192.168.84.55@36272 "1970-01-01 00:00:20.528255127" "1970-01-01 00:01:20.781610352" g.doubleclick.net HTTP/1.x-HTTP/2_null 1.83KB 6.44KB "0.00 kbits" "0.00 kbits"
192.168.84.55 57334 11 0 1844 3 0 0 0 1 1 216.239.32.36 443 10 0 6966 3 0 0 0 1 1 20406.59228515625 80781.62329101562 8192 region1.analytics.google.com - 160 0 region1.analytics.google.com - 216.239.32.36@443_192.168.84.55@57334 "1970-01-01 00:00:20.406592285" "1970-01-01 00:01:20.781623291" analytics.google.com HTTP/1.x-HTTP/2_null 1.80KB 6.80KB "0.00 kbits" "0.00 kbits"
192.168.84.55 36016 12 0 1800 3 0 0 0 1 1 18.66.196.26 443 12 0 6258 5 0 0 0 1 1 20580.98828125 81027.24829101562 8192 static.adsafeprotected.com - 160 0 static.adsafeprotected.com - 18.66.196.26@443_192.168.84.55@36016 "1970-01-01 00:00:20.580988281" "1970-01-01 00:01:21.027248291" static.adsafeprotected.com HTTP/1.x-HTTP/2_null 1.76KB 6.11KB "0.00 kbits" "0.00 kbits"
192.168.84.55 52102 11 0 1881 3 0 0 0 1 1 142.250.185.110 443 10 0 8810 3 0 0 0 1 1 22724.005126953125 83011.33618164062 8192 fundingchoicesmessages.google.com - 160 0 fundingchoicesmessages.google.com - 142.250.185.110@443_192.168.84.55@52102 "1970-01-01 00:00:22.724005127" "1970-01-01 00:01:23.011336182" fundingchoicesmessages.google.com HTTP/1.x-HTTP/2_null 1.84KB 8.60KB "0.00 kbits" "0.00 kbits"
192.168.84.55 54730 11 0 1817 3 0 0 0 1 1 142.250.185.110 443 9 0 8810 3 0 0 0 1 1 23851.38330078125 85031.96215820312 8192 fundingchoicesmessages.google.com - 160 0 fundingchoicesmessages.google.com - 142.250.185.110@443_192.168.84.55@54730 "1970-01-01 00:00:23.851383301" "1970-01-01 00:01:25.031962158" fundingchoicesmessages.google.com HTTP/1.x-HTTP/2_null 1.77KB 8.60KB "0.00 kbits" "0.00 kbits"
192.168.84.55 55862 182 1 15623 19 0 0 0 1 0 91.81.128.189 443 205 0 2867895 184 0 0 0 1 1 32491.691162109375 87723.28515625 8192 dce-de-livedazn.daznedge.net - 160 0 dce-de-livedazn.daznedge.net - 91.81.128.189@443_192.168.84.55@55862 "1970-01-01 00:00:32.491691162" "1970-01-01 00:01:27.723285156" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 15.26KB 2.74MB "0.00 kbits" "0.42 kbits"
192.168.84.55 36898 28 1 3287 11 0 0 0 1 1 52.29.225.243 443 45 0 75744 32 1 77 0 1 0 11549.4453125 90430.51220703125 8192 startup.core.indazn.com core.indazn.com 160 128 startup.core.indazn.com - 52.29.225.243@443_192.168.84.55@36898 "1970-01-01 00:00:11.549445312" "1970-01-01 00:01:30.430512206" core.indazn.com HTTP/1.x-HTTP/2_HTTP/2 3.21KB 73.97KB "0.00 kbits" "0.01 kbits"
192.168.84.55 33862 30 0 11936 16 0 0 0 1 1 18.184.236.0 443 37 0 17684 17 1 0 0 1 2 13066.032958984375 91226.9501953125 8192 segmentation-service-api.discovery.indazn.com discovery.indazn.com 160 128 segmentation-service-api.discovery.indazn.com - 18.184.236.0@443_192.168.84.55@33862 "1970-01-01 00:00:13.066032959" "1970-01-01 00:01:31.226950195" discovery.indazn.com HTTP/1.x-HTTP/2_HTTP/2 11.66KB 17.27KB "0.00 kbits" "0.00 kbits"
192.168.84.55 59788 23 0 6356 13 0 0 0 1 1 3.120.25.142 443 28 0 6549 11 0 0 0 1 1 13074.025146484375 91226.9873046875 8192 partner-integration.ar.indazn.com partner-integration.ar.indazn.com 160 128 partner-integration.ar.indazn.com - 3.120.25.142@443_192.168.84.55@59788 "1970-01-01 00:00:13.074025146" "1970-01-01 00:01:31.226987305" ar.indazn.com HTTP/1.x-HTTP/2_HTTP/2 6.21KB 6.40KB "0.00 kbits" "0.00 kbits"
192.168.84.55 40202 11 0 1910 3 0 0 0 1 1 142.250.185.226 443 10 0 6604 3 0 0 0 1 1 31949.401123046875 93009.95825195312 8192 securepubads.g.doubleclick.net - 160 0 securepubads.g.doubleclick.net - 142.250.185.226@443_192.168.84.55@40202 "1970-01-01 00:00:31.949401123" "1970-01-01 00:01:33.009958252" g.doubleclick.net HTTP/1.x-HTTP/2_null 1.87KB 6.45KB "0.00 kbits" "0.00 kbits"
192.168.84.55 47914 11 0 1837 3 0 0 0 1 1 142.250.185.234 443 10 0 6724 3 0 0 0 1 1 31943.524169921875 93013.18725585938 8192 imasdk.googleapis.com - 160 0 imasdk.googleapis.com - 142.250.185.234@443_192.168.84.55@47914 "1970-01-01 00:00:31.943524170" "1970-01-01 00:01:33.013187256" imasdk.googleapis.com HTTP/1.x-HTTP/2_null 1.79KB 6.57KB "0.00 kbits" "0.00 kbits"
192.168.84.55 36596 39 1 8138 23 0 0 0 1 1 3.67.218.2 443 41 0 6740 15 0 0 0 1 0 13572.755126953125 93867.47021484375 8192 user-message.gateway.indazn.com - 160 0 user-message.gateway.indazn.com - 3.67.218.2@443_192.168.84.55@36596 "1970-01-01 00:00:13.572755127" "1970-01-01 00:01:33.867470215" gateway.indazn.com HTTP/1.x-HTTP/2_null 7.95KB 6.58KB "0.00 kbits" "0.00 kbits"
192.168.84.55 54464 10 0 2105 3 0 0 0 1 1 91.81.128.189 443 9 0 571 3 0 0 0 1 1 93220.11499023438 98985.63134765625 8192 dce-de-livedazn.daznedge.net - 160 0 dce-de-livedazn.daznedge.net - 91.81.128.189@443_192.168.84.55@54464 "1970-01-01 00:01:33.220114990" "1970-01-01 00:01:38.985631348" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 2.06KB 571.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 46824 13 0 1456 7 0 0 0 1 1 142.250.186.74 443 17 0 7012 8 0 0 0 1 1 106024.80615234375 106314.76928710938 8192 safebrowsing.googleapis.com - 160 0 safebrowsing.googleapis.com - 142.250.186.74@443_192.168.84.55@46824 "1970-01-01 00:01:46.024806152" "1970-01-01 00:01:46.314769287" safebrowsing.googleapis.com HTTP/1.x-HTTP/2_null 1.42KB 6.85KB "0.04 kbits" "0.19 kbits"
192.168.84.55 48336 29 0 13298 20 0 0 0 1 1 52.223.29.147 443 34 0 7746 11 0 0 0 1 1 58928.326171875 109021.10815429688 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 52.223.29.147@443_192.168.84.55@48336 "1970-01-01 00:00:58.928326172" "1970-01-01 00:01:49.021108154" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2 12.99KB 7.56KB "0.00 kbits" "0.00 kbits"
192.168.84.55 56302 10 0 2169 3 0 0 0 1 1 91.81.128.189 443 9 0 571 3 0 0 0 1 1 115218.14892578125 121011.30712890625 8192 dce-de-livedazn.daznedge.net - 160 0 dce-de-livedazn.daznedge.net - 91.81.128.189@443_192.168.84.55@56302 "1970-01-01 00:01:55.218148926" "1970-01-01 00:02:01.011307129" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 2.12KB 571.00B "0.00 kbits" "0.00 kbits"
