c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.166.55 51587 63.140.62.27 443 36150.6171875 169.72 7 1 6 2 300 2 0 0 0 1 1 7 0 7 1 4206 4 0 0 0 1 1 63.140.62.27@443_192.168.166.55@51587 36320.3371875 "1970-01-01 00:00:36.150617188" "1970-01-01 00:00:36.320337188" 300.00B 4.11KB "0.01 kbits" "0.20 kbits" hb.omtrdc.net HTTP/1.x-HTTP/2_HTTP/2
192.168.166.55 51588 199.127.193.108 443 36180.37109375 997.422 10 0 9 3 3901 6 0 0 0 1 0 12 0 12 6 6910 5 0 0 0 1 0 199.127.193.108@443_192.168.166.55@51588 37177.79309375 "1970-01-01 00:00:36.180371094" "1970-01-01 00:00:37.177793094" 3.81KB 6.75KB "0.03 kbits" "0.06 kbits" cws.conviva.com HTTP/1.x-HTTP/2_null
192.168.166.55 51603 185.26.141.74 443 36832.203125 52.592 2 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 185.26.141.74@443_192.168.166.55@51603 36884.795125 "1970-01-01 00:00:36.832203125" "1970-01-01 00:00:36.884795125" 0B 0B "0.00 kbits" "0.00 kbits" selector.skycdn.it "SPDY (*)-HTTP/1.x_null"
192.168.166.55 51586 63.140.62.27 443 36150.393798828125 398.544 16 0 15 6 2423 9 0 0 0 1 0 12 0 12 3 4985 8 0 0 0 1 0 63.140.62.27@443_192.168.166.55@51586 36548.93779882813 "1970-01-01 00:00:36.150393799" "1970-01-01 00:00:36.548937799" 2.37KB 4.87KB "0.05 kbits" "0.10 kbits" hb.omtrdc.net HTTP/1.x-HTTP/2_HTTP/2
192.168.166.55 51583 18.65.82.60 443 19278.361083984375 184.052 13 0 12 5 1386 7 0 0 0 1 0 16 0 16 7 6308 8 0 0 0 1 0 18.65.82.60@443_192.168.166.55@51583 19462.413083984375 "1970-01-01 00:00:19.278361084" "1970-01-01 00:00:19.462413084" 1.35KB 6.16KB "0.06 kbits" "0.27 kbits" sb.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2
192.168.166.55 51605 101.62.202.209 443 38099.051025390625 813.442 94 0 93 87 1607 6 0 0 0 1 0 135 0 135 6 242783 128 0 0 0 1 0 101.62.202.209@443_192.168.166.55@51605 38912.49302539063 "1970-01-01 00:00:38.099051025" "1970-01-01 00:00:38.912493025" 1.57KB 237.09KB "0.02 kbits" "2.39 kbits" cdn#.skycdp.com "SPDY (*)-HTTP/1.x_HTTP/1.x"
192.168.166.55 51586 63.140.62.27 443 38863.84716796875 760.215 7 0 7 3 2207 4 1 1400 0 0 0 8 0 8 4 181 4 1 68 0 0 0 63.140.62.27@443_192.168.166.55@51586 39624.06216796875 "1970-01-01 00:00:38.863847168" "1970-01-01 00:00:39.624062168" 2.16KB 181.00B "0.02 kbits" "0.00 kbits" hb.omtrdc.net HTTP/1.x-HTTP/2_HTTP/2
192.168.166.55 51543 23.214.204.198 443 28645.006103515625 122.009 2 0 2 1 532 1 0 0 0 0 0 1 0 1 0 605 1 0 0 0 0 0 23.214.204.198@443_192.168.166.55@51543 28767.015103515623 "1970-01-01 00:00:28.645006104" "1970-01-01 00:00:28.767015104" 532.00B 605.00B "0.03 kbits" "0.04 kbits" init.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51573 63.140.62.17 443 35855.561767578125 390.785 7 0 7 3 2583 4 0 0 0 0 0 5 0 5 1 634 4 0 0 0 0 0 63.140.62.17@443_192.168.166.55@51573 36246.34676757813 "1970-01-01 00:00:35.855561768" "1970-01-01 00:00:36.246346768" 2.52KB 634.00B "0.05 kbits" "0.01 kbits" smetrics.sky.com HTTP/1.x-HTTP/2_HTTP/2
192.168.166.55 51605 101.62.202.209 443 39167.811767578125 503.046 878 0 878 878 0 0 0 0 0 0 0 918 0 918 0 2565704 918 1 1400 0 0 0 101.62.202.209@443_192.168.166.55@51605 39670.85776757813 "1970-01-01 00:00:39.167811768" "1970-01-01 00:00:39.670857768" 0B 2.45MB "0.00 kbits" "40.80 kbits" cdn#.skycdp.com "SPDY (*)-HTTP/1.x_HTTP/1.x"
192.168.166.55 51607 101.62.202.209 443 38275.791015625 973.49 266 0 265 260 1368 5 0 0 0 1 0 287 0 287 5 794657 281 1 1400 0 1 0 101.62.202.209@443_192.168.166.55@51607 39249.281015625 "1970-01-01 00:00:38.275791016" "1970-01-01 00:00:39.249281016" 1.34KB 776.03KB "0.01 kbits" "6.53 kbits" cdn#.skycdp.com "SPDY (*)-HTTP/1.x_HTTP/1.x"
192.168.166.55 51583 18.65.82.60 443 38976.915771484375 332.514 4 0 4 1 1406 3 1 1400 0 0 0 7 0 7 3 1643 4 1 1400 0 0 0 18.65.82.60@443_192.168.166.55@51583 39309.42977148438 "1970-01-01 00:00:38.976915771" "1970-01-01 00:00:39.309429771" 1.37KB 1.60KB "0.03 kbits" "0.04 kbits" sb.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2
192.168.166.55 51608 52.223.29.147 443 39341.677001953125 487.833 14 0 13 5 2145 8 0 0 0 1 0 16 0 16 7 5729 8 0 0 0 1 0 52.223.29.147@443_192.168.166.55@51608 39829.510001953124 "1970-01-01 00:00:39.341677002" "1970-01-01 00:00:39.829510001" 2.09KB 5.59KB "0.04 kbits" "0.09 kbits" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2
192.168.166.55 51586 63.140.62.27 443 40370.816162109375 204.104 2 0 2 1 632 1 0 0 0 0 0 2 0 2 1 68 1 0 0 0 0 0 63.140.62.27@443_192.168.166.55@51586 40574.920162109374 "1970-01-01 00:00:40.370816162" "1970-01-01 00:00:40.574920162" 632.00B 68.00B "0.02 kbits" "0.00 kbits" hb.omtrdc.net HTTP/1.x-HTTP/2_HTTP/2
192.168.166.55 51573 63.140.62.17 443 44009.385009765625 123.947 2 0 2 1 860 1 0 0 0 0 0 1 0 1 0 221 1 0 0 0 0 0 63.140.62.17@443_192.168.166.55@51573 44133.332009765625 "1970-01-01 00:00:44.009385010" "1970-01-01 00:00:44.133332010" 860.00B 221.00B "0.06 kbits" "0.01 kbits" smetrics.sky.com HTTP/1.x-HTTP/2_HTTP/2
192.168.166.55 51605 101.62.202.209 443 48053.469970703125 912.656 1711 0 1711 1708 725 3 0 0 0 0 0 1953 0 1953 3 5781095 1950 0 0 0 0 0 101.62.202.209@443_192.168.166.55@51605 48966.12597070313 "1970-01-01 00:00:48.053469971" "1970-01-01 00:00:48.966125971" 725.00B 5.51MB "0.01 kbits" "50.67 kbits" cdn#.skycdp.com "SPDY (*)-HTTP/1.x_HTTP/1.x"
192.168.166.55 51607 101.62.202.209 443 48129.55712890625 476.82 113 0 113 110 725 3 0 0 0 0 0 126 0 126 3 381784 123 0 0 0 0 0 101.62.202.209@443_192.168.166.55@51607 48606.37712890625 "1970-01-01 00:00:48.129557129" "1970-01-01 00:00:48.606377129" 725.00B 372.84KB "0.01 kbits" "6.41 kbits" cdn#.skycdp.com "SPDY (*)-HTTP/1.x_HTTP/1.x"
192.168.166.55 51543 23.214.204.198 443 43648.958984375 103.088 2 0 2 1 532 1 0 0 0 0 0 1 0 1 0 605 1 0 0 0 0 0 23.214.204.198@443_192.168.166.55@51543 43752.046984375 "1970-01-01 00:00:43.648958984" "1970-01-01 00:00:43.752046984" 532.00B 605.00B "0.04 kbits" "0.05 kbits" init.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51552 23.196.137.203 443 13678.01318359375 138.092 8 0 7 4 821 3 0 0 0 1 0 7 0 7 1 5569 5 0 0 0 1 0 23.196.137.203@443_192.168.166.55@51552 13816.10518359375 "1970-01-01 00:00:13.678013184" "1970-01-01 00:00:13.816105184" 821.00B 5.44KB "0.05 kbits" "0.32 kbits" falke.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51547 23.196.137.203 443 13677.3701171875 139.585 8 0 7 4 814 3 0 0 0 1 0 8 0 8 1 5561 6 0 0 0 1 0 23.196.137.203@443_192.168.166.55@51547 13816.9551171875 "1970-01-01 00:00:13.677370117" "1970-01-01 00:00:13.816955117" 814.00B 5.43KB "0.05 kbits" "0.32 kbits" falke.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
