c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
fe80::26c4:9835:1cab:c697 5353 12439.609130859375 168.038102 224 8 19 ff02::fb 5353 0.0 0.0 0 0 0 - - ff02::fb@5353_fe80::26c4:9835:1cab:c697@5353 12607.647216796875 0.0 "1970-01-01 00:00:12.439609131" "1970-01-01 00:00:12.607647217" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  DNS_UNKNOWN 224.00B 0B
192.168.166.55 54701 177636.57495117188 0.0 27 1 19 192.168.166.113 53 177671.06713867188 0.0 112 1 19 - - 192.168.166.113@53_192.168.166.55@54701 177636.57495117188 177671.06713867188 "1970-01-01 00:02:57.636574951" "1970-01-01 00:02:57.636574951" "1970-01-01 00:02:57.671067139" "1970-01-01 00:02:57.671067139"  DNS 27.00B 112.00B
192.168.166.55 65130 178245.39013671875 0.0 58 1 19 192.168.166.113 53 178302.52709960938 0.0 74 1 19 - - 192.168.166.113@53_192.168.166.55@65130 178245.39013671875 178302.52709960938 "1970-01-01 00:02:58.245390137" "1970-01-01 00:02:58.245390137" "1970-01-01 00:02:58.302527100" "1970-01-01 00:02:58.302527100"  DNS 58.00B 74.00B
192.168.166.55 60639 178508.93505859375 0.0 61 1 19 192.168.166.113 53 178548.51513671875 0.0 198 1 19 - - 192.168.166.113@53_192.168.166.55@60639 178508.93505859375 178548.51513671875 "1970-01-01 00:02:58.508935059" "1970-01-01 00:02:58.508935059" "1970-01-01 00:02:58.548515136" "1970-01-01 00:02:58.548515136"  DNS 61.00B 198.00B
fe80::26c4:9835:1cab:c697 54612 179471.73901367188 0.419869 44 2 19 ff02::1:3 5355 0.0 0.0 0 0 0 - - ff02::1:3@5355_fe80::26c4:9835:1cab:c697@54612 179472.15893554688 0.0 "1970-01-01 00:02:59.471739014" "1970-01-01 00:02:59.472158936" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  DNS_UNKNOWN 44.00B 0B
192.168.166.55 54612 179471.81909179688 0.419922 44 2 19 224.0.0.252 5355 0.0 0.0 0 0 0 - - 224.0.0.252@5355_192.168.166.55@54612 179472.23901367188 0.0 "1970-01-01 00:02:59.471819092" "1970-01-01 00:02:59.472239014" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  DNS_UNKNOWN 44.00B 0B
192.168.166.55 54619 226631.66918945312 3.031878 700 4 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.166.55@54619 226634.701171875 0.0 "1970-01-01 00:03:46.631669189" "1970-01-01 00:03:46.634701172" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 700.00B 0B
192.168.166.55 64179 239853.912109375 0.0 34 1 19 192.168.166.113 53 239926.00903320312 0.0 124 1 19 - - 192.168.166.113@53_192.168.166.55@64179 239853.912109375 239926.00903320312 "1970-01-01 00:03:59.853912109" "1970-01-01 00:03:59.853912109" "1970-01-01 00:03:59.926009033" "1970-01-01 00:03:59.926009033"  DNS 34.00B 124.00B
192.168.166.55 52046 250579.68798828125 0.0 27 1 19 192.168.166.113 53 250606.27978515625 0.0 112 1 19 - - 192.168.166.113@53_192.168.166.55@52046 250579.68798828125 250606.27978515625 "1970-01-01 00:04:10.579687988" "1970-01-01 00:04:10.579687988" "1970-01-01 00:04:10.606279785" "1970-01-01 00:04:10.606279785"  DNS 27.00B 112.00B
192.168.166.55 56460 251167.80395507812 0.0 58 1 19 192.168.166.113 53 251199.73779296875 0.0 74 1 19 - - 192.168.166.113@53_192.168.166.55@56460 251167.80395507812 251199.73779296875 "1970-01-01 00:04:11.167803955" "1970-01-01 00:04:11.167803955" "1970-01-01 00:04:11.199737793" "1970-01-01 00:04:11.199737793"  DNS 58.00B 74.00B
192.168.166.55 54323 251441.5517578125 0.0 61 1 19 192.168.166.113 53 251489.62109375 0.0 197 1 19 - - 192.168.166.113@53_192.168.166.55@54323 251441.5517578125 251489.62109375 "1970-01-01 00:04:11.441551758" "1970-01-01 00:04:11.441551758" "1970-01-01 00:04:11.489621094" "1970-01-01 00:04:11.489621094"  DNS 61.00B 197.00B
192.168.166.55 59456 288298.2111816406 0.0 47 1 19 192.168.166.113 53 288347.4909667969 0.0 184 1 19 - - 192.168.166.113@53_192.168.166.55@59456 288298.2111816406 288347.4909667969 "1970-01-01 00:04:48.298211182" "1970-01-01 00:04:48.298211182" "1970-01-01 00:04:48.347490967" "1970-01-01 00:04:48.347490967"  DNS 47.00B 184.00B
192.168.166.55 52042 323556.0197753906 0.0 27 1 19 192.168.166.113 53 323581.72509765625 0.0 112 1 19 - - 192.168.166.113@53_192.168.166.55@52042 323556.0197753906 323581.72509765625 "1970-01-01 00:05:23.556019775" "1970-01-01 00:05:23.556019775" "1970-01-01 00:05:23.581725098" "1970-01-01 00:05:23.581725098"  DNS 27.00B 112.00B
192.168.166.55 49298 324153.994140625 0.0 58 1 19 192.168.166.113 53 324197.7990722656 0.0 74 1 19 - - 192.168.166.113@53_192.168.166.55@49298 324153.994140625 324197.7990722656 "1970-01-01 00:05:24.153994141" "1970-01-01 00:05:24.153994141" "1970-01-01 00:05:24.197799072" "1970-01-01 00:05:24.197799072"  DNS 58.00B 74.00B
192.168.166.55 60598 324392.97705078125 0.0 61 1 19 192.168.166.113 53 324421.09716796875 0.0 106 1 19 - - 192.168.166.113@53_192.168.166.55@60598 324392.97705078125 324421.09716796875 "1970-01-01 00:05:24.392977051" "1970-01-01 00:05:24.392977051" "1970-01-01 00:05:24.421097168" "1970-01-01 00:05:24.421097168"  DNS 61.00B 106.00B
192.168.166.55 60602 346637.1750488281 3.030138 700 4 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.166.55@60602 346640.205078125 0.0 "1970-01-01 00:05:46.637175049" "1970-01-01 00:05:46.640205078" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 700.00B 0B
192.168.166.55 64723 352792.0119628906 0.0 41 1 19 192.168.166.113 53 352840.18115234375 0.0 271 1 19 - - 192.168.166.113@53_192.168.166.55@64723 352792.0119628906 352840.18115234375 "1970-01-01 00:05:52.792011963" "1970-01-01 00:05:52.792011963" "1970-01-01 00:05:52.840181152" "1970-01-01 00:05:52.840181152"  DNS 41.00B 271.00B
192.168.166.55 54893 385241.4221191406 0.0 45 1 19 192.168.166.113 53 385271.2111816406 0.0 130 1 19 - - 192.168.166.113@53_192.168.166.55@54893 385241.4221191406 385271.2111816406 "1970-01-01 00:06:25.241422119" "1970-01-01 00:06:25.241422119" "1970-01-01 00:06:25.271211182" "1970-01-01 00:06:25.271211182"  DNS 45.00B 130.00B
192.168.166.55 60781 385887.0739746094 0.0 34 1 19 192.168.166.113 53 385929.0441894531 0.0 124 1 19 - - 192.168.166.113@53_192.168.166.55@60781 385887.0739746094 385929.0441894531 "1970-01-01 00:06:25.887073975" "1970-01-01 00:06:25.887073975" "1970-01-01 00:06:25.929044189" "1970-01-01 00:06:25.929044189"  DNS 34.00B 124.00B
192.168.166.55 51365 396626.6669921875 0.0 27 1 19 192.168.166.113 53 396674.4211425781 0.0 112 1 19 - - 192.168.166.113@53_192.168.166.55@51365 396626.6669921875 396674.4211425781 "1970-01-01 00:06:36.626666992" "1970-01-01 00:06:36.626666992" "1970-01-01 00:06:36.674421143" "1970-01-01 00:06:36.674421143"  DNS 27.00B 112.00B
192.168.166.55 53804 397244.76513671875 0.0 58 1 19 192.168.166.113 53 397274.6259765625 0.0 74 1 19 - - 192.168.166.113@53_192.168.166.55@53804 397244.76513671875 397274.6259765625 "1970-01-01 00:06:37.244765137" "1970-01-01 00:06:37.244765137" "1970-01-01 00:06:37.274625977" "1970-01-01 00:06:37.274625977"  DNS 58.00B 74.00B
192.168.166.55 56808 397518.2578125 0.0 61 1 19 192.168.166.113 53 397545.26416015625 0.0 106 1 19 - - 192.168.166.113@53_192.168.166.55@56808 397518.2578125 397545.26416015625 "1970-01-01 00:06:37.518257812" "1970-01-01 00:06:37.518257812" "1970-01-01 00:06:37.545264160" "1970-01-01 00:06:37.545264160"  DNS 61.00B 106.00B
192.168.166.55 51462 458897.4169921875 0.0 34 1 19 192.168.166.113 53 458943.3937988281 0.0 124 1 19 - - 192.168.166.113@53_192.168.166.55@51462 458897.4169921875 458943.3937988281 "1970-01-01 00:07:38.897416992" "1970-01-01 00:07:38.897416992" "1970-01-01 00:07:38.943393799" "1970-01-01 00:07:38.943393799"  DNS 34.00B 124.00B
192.168.166.55 51464 466648.0051269531 3.015185 700 4 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.166.55@51464 466651.0202636719 0.0 "1970-01-01 00:07:46.648005127" "1970-01-01 00:07:46.651020264" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 700.00B 0B
192.168.166.55 59947 469570.759765625 0.0 27 1 19 192.168.166.113 53 469605.9440917969 0.0 112 1 19 - - 192.168.166.113@53_192.168.166.55@59947 469570.759765625 469605.9440917969 "1970-01-01 00:07:49.570759766" "1970-01-01 00:07:49.570759766" "1970-01-01 00:07:49.605944092" "1970-01-01 00:07:49.605944092"  DNS 27.00B 112.00B
192.168.166.55 53410 470166.1789550781 0.0 58 1 19 192.168.166.113 53 470210.91015625 0.0 74 1 19 - - 192.168.166.113@53_192.168.166.55@53410 470166.1789550781 470210.91015625 "1970-01-01 00:07:50.166178955" "1970-01-01 00:07:50.166178955" "1970-01-01 00:07:50.210910156" "1970-01-01 00:07:50.210910156"  DNS 58.00B 74.00B
192.168.166.55 55489 470427.1657714844 0.0 61 1 19 192.168.166.113 53 470459.8439941406 0.0 106 1 19 - - 192.168.166.113@53_192.168.166.55@55489 470427.1657714844 470459.8439941406 "1970-01-01 00:07:50.427165771" "1970-01-01 00:07:50.427165771" "1970-01-01 00:07:50.459843994" "1970-01-01 00:07:50.459843994"  DNS 61.00B 106.00B
