c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 62498 2.22.32.177 443 16589.326416015625 0.0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2.22.32.177@443_192.168.84.55@62498 16589.326416015625 "1970-01-01 00:00:16.589326416" "1970-01-01 00:00:16.589326416" 0B 0B NaN NaN imageservice.sky.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 62496 2.22.32.177 443 16589.034423828125 0.0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2.22.32.177@443_192.168.84.55@62496 16589.034423828125 "1970-01-01 00:00:16.589034424" "1970-01-01 00:00:16.589034424" 0B 0B NaN NaN imageservice.sky.com UNKNOWN
192.168.84.55 62495 2.22.32.177 443 16588.653564453125 0.0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2.22.32.177@443_192.168.84.55@62495 16588.653564453125 "1970-01-01 00:00:16.588653564" "1970-01-01 00:00:16.588653564" 0B 0B NaN NaN imageservice.sky.com UNKNOWN
192.168.84.55 62497 2.22.32.177 443 16589.16162109375 0.0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2.22.32.177@443_192.168.84.55@62497 16589.16162109375 "1970-01-01 00:00:16.589161621" "1970-01-01 00:00:16.589161621" 0B 0B NaN NaN imageservice.sky.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 62492 2.22.32.204 443 16587.6494140625 0.0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2.22.32.204@443_192.168.84.55@62492 16587.6494140625 "1970-01-01 00:00:16.587649414" "1970-01-01 00:00:16.587649414" 0B 0B NaN NaN imageservice.sky.com UNKNOWN
192.168.84.55 62474 23.51.48.42 443 16159.849609375 738.8 9 0 8 3 1348 5 2 1034 0 1 0 6 0 6 1 4594 4 0 0 0 1 0 23.51.48.42@443_192.168.84.55@62474 16898.649609375 "1970-01-01 00:00:16.159849609" "1970-01-01 00:00:16.898649609" 1.32KB 4.49KB "0.01 kbits" "0.05 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62476 2.22.32.204 443 16160.09423828125 815.897 7 0 6 3 517 3 2 1034 0 1 0 6 0 6 1 5496 4 0 0 0 1 0 2.22.32.204@443_192.168.84.55@62476 16975.99123828125 "1970-01-01 00:00:16.160094238" "1970-01-01 00:00:16.975991238" 517.00B 5.37KB "0.01 kbits" "0.05 kbits" imageservice.sky.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 62477 23.51.48.42 443 16165.153564453125 913.204 9 0 8 3 1693 5 2 1034 0 1 0 6 0 6 1 4595 4 0 0 0 1 0 23.51.48.42@443_192.168.84.55@62477 17078.357564453127 "1970-01-01 00:00:16.165153564" "1970-01-01 00:00:17.078357564" 1.65KB 4.49KB "0.01 kbits" "0.04 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62475 23.51.48.42 443 16159.95458984375 780.478 9 0 8 3 1352 5 2 1034 0 1 0 6 0 6 1 4595 4 0 0 0 1 0 23.51.48.42@443_192.168.84.55@62475 16940.43258984375 "1970-01-01 00:00:16.159954590" "1970-01-01 00:00:16.940432590" 1.32KB 4.49KB "0.01 kbits" "0.05 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62499 108.138.192.9 443 16682.87060546875 0.0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 108.138.192.9@443_192.168.84.55@62499 16682.87060546875 "1970-01-01 00:00:16.682870605" "1970-01-01 00:00:16.682870605" 0B 0B NaN NaN  
