c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
fe80::245:e2ff:feb8:eb6d 5353 153686.6318359375 0.0 45 1 0 ff02::fb 5353 0.0 0.0 0 0 0 - - ff02::fb@5353_fe80::245:e2ff:feb8:eb6d@5353 153686.6318359375 0.0 "1970-01-01 00:02:33.686631836" "1970-01-01 00:02:33.686631836" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 45.00B 0B
192.168.84.55 34385 12663.80615234375 0.0 34 1 19 192.168.84.198 53 12737.7919921875 0.0 130 1 19 - - 192.168.84.198@53_192.168.84.55@34385 12663.80615234375 12737.7919921875 "1970-01-01 00:00:12.663806152" "1970-01-01 00:00:12.663806152" "1970-01-01 00:00:12.737791992" "1970-01-01 00:00:12.737791992"  DNS 34.00B 130.00B
192.168.84.55 33438 12663.858154296875 0.0 34 1 0 192.168.84.198 53 12737.793212890625 0.0 118 1 0 - - 192.168.84.198@53_192.168.84.55@33438 12663.858154296875 12737.793212890625 "1970-01-01 00:00:12.663858154" "1970-01-01 00:00:12.663858154" "1970-01-01 00:00:12.737793213" "1970-01-01 00:00:12.737793213"  UNKNOWN 34.00B 118.00B
192.168.84.55 1050 12664.215087890625 0.0 35 1 19 192.168.84.198 53 12671.3291015625 0.0 67 1 19 - - 192.168.84.198@53_192.168.84.55@1050 12664.215087890625 12671.3291015625 "1970-01-01 00:00:12.664215088" "1970-01-01 00:00:12.664215088" "1970-01-01 00:00:12.671329102" "1970-01-01 00:00:12.671329102"  DNS 35.00B 67.00B
192.168.84.55 12179 12664.254150390625 0.0 35 1 0 192.168.84.198 53 12708.35009765625 0.0 105 1 0 - - 192.168.84.198@53_192.168.84.55@12179 12664.254150390625 12708.35009765625 "1970-01-01 00:00:12.664254150" "1970-01-01 00:00:12.664254150" "1970-01-01 00:00:12.708350098" "1970-01-01 00:00:12.708350098"  UNKNOWN 35.00B 105.00B
192.168.84.55 8027 12664.552978515625 0.0 49 1 19 192.168.84.198 53 12740.97998046875 0.0 113 1 19 - - 192.168.84.198@53_192.168.84.55@8027 12664.552978515625 12740.97998046875 "1970-01-01 00:00:12.664552979" "1970-01-01 00:00:12.664552979" "1970-01-01 00:00:12.740979980" "1970-01-01 00:00:12.740979980"  DNS 49.00B 113.00B
192.168.84.55 22550 12664.594970703125 0.0 49 1 0 192.168.84.198 53 12711.59814453125 0.0 131 1 0 - - 192.168.84.198@53_192.168.84.55@22550 12664.594970703125 12711.59814453125 "1970-01-01 00:00:12.664594971" "1970-01-01 00:00:12.664594971" "1970-01-01 00:00:12.711598145" "1970-01-01 00:00:12.711598145"  UNKNOWN 49.00B 131.00B
192.168.84.55 36384 12664.922119140625 0.0 35 1 19 192.168.84.198 53 12718.165771484375 0.0 99 1 19 - - 192.168.84.198@53_192.168.84.55@36384 12664.922119140625 12718.165771484375 "1970-01-01 00:00:12.664922119" "1970-01-01 00:00:12.664922119" "1970-01-01 00:00:12.718165771" "1970-01-01 00:00:12.718165771"  DNS 35.00B 99.00B
192.168.84.55 10421 12664.989013671875 0.0 35 1 18 192.168.84.198 53 12705.052001953125 0.0 119 1 18 - - 192.168.84.198@53_192.168.84.55@10421 12664.989013671875 12705.052001953125 "1970-01-01 00:00:12.664989014" "1970-01-01 00:00:12.664989014" "1970-01-01 00:00:12.705052002" "1970-01-01 00:00:12.705052002"  P2P_OKAD 35.00B 119.00B
192.168.84.55 35192 12667.677001953125 0.0 42 1 19 192.168.84.198 53 12701.799072265625 0.0 58 1 19 - - 192.168.84.198@53_192.168.84.55@35192 12667.677001953125 12701.799072265625 "1970-01-01 00:00:12.667677002" "1970-01-01 00:00:12.667677002" "1970-01-01 00:00:12.701799072" "1970-01-01 00:00:12.701799072"  DNS 42.00B 58.00B
192.168.84.55 16219 12667.76318359375 0.0 42 1 0 192.168.84.198 53 12705.052978515625 0.0 99 1 0 - - 192.168.84.198@53_192.168.84.55@16219 12667.76318359375 12705.052978515625 "1970-01-01 00:00:12.667763184" "1970-01-01 00:00:12.667763184" "1970-01-01 00:00:12.705052979" "1970-01-01 00:00:12.705052979"  UNKNOWN 42.00B 99.00B
